# Week 4 — the words that separate a confident speaker from a fluent one, and
# the spellings that survive to the final exam: -ance/-ence, -ery/-ary/-ory,
# the doubled consonants nobody hears, and the borrowings that keep foreign spelling.
diversion|daɪˈvɜːʃn|di-ver-sion|ডাইভারশন|অন্যদিকে সরানো|noun|tion_sion|2731|divertion,dibersion
aversion|əˈvɜːʃn|a-ver-sion|অ্যাভারশন|বিতৃষ্ণা|noun|tion_sion|2732|avertion,abersion
conversion|kənˈvɜːʃn|con-ver-sion|কনভারশন|রূপান্তর|noun|tion_sion|2733|convertion,conbersion
perversion|pəˈvɜːʃn|per-ver-sion|পারভারশন|বিকৃতি|noun|tion_sion|2734|pervertion,perbersion
immersion|ɪˈmɜːʃn|im-mer-sion|ইমারশন|নিমজ্জন|noun|tion_sion|2735|imertion,immertion
dispersion|dɪˈspɜːʃn|dis-per-sion|ডিসপারশন|বিচ্ছুরণ|noun|tion_sion|2736|dispertion,dispesion
persuasion|pəˈsweɪʒn|per-sua-sion|পারসুয়েশন|প্ররোচনা|noun|tion_sion|2737|persuation,perswasion
evasion|ɪˈveɪʒn|e-va-sion|ইভেশন|এড়ানো|noun|tion_sion|2738|evation,ebasion
abrasion|əˈbreɪʒn|a-bra-sion|অ্যাব্রেশন|ঘর্ষণক্ষত|noun|tion_sion|2739|abration,abraision
collision|kəˈlɪʒn|col-li-sion|কলিশন|সংঘর্ষ|noun|tion_sion|2740|colision,collission
incision|ɪnˈsɪʒn|in-ci-sion|ইনসিশন|কর্তন|noun|soft_c|2741|incission,insision
supervision|ˌsuːpəˈvɪʒn|su-per-vi-sion|সুপারভিশন|তত্ত্বাবধান|noun|tion_sion|2742|supervission,superbision
questionnaire|ˌkwestʃəˈneə|ques-tion-naire|কোয়েশচেনেয়ার|প্রশ্নমালা|noun|q_takes_u|2743|questionaire,questionnare
millionaire|ˌmɪljəˈneə|mil-lio-naire|মিলিয়নেয়ার|কোটিপতি|noun||2744|millionare,milionaire
tableau|ˈtæbləʊ|tab-leau|ট্যাবলো|জীবন্ত চিত্র|noun||2745|tablo,tableu
bouquet|buˈkeɪ|bou-quet|বুকে|ফুলের তোড়া|noun|q_takes_u|2746|boquet,bouqet
ballet|ˈbæleɪ|bal-let|ব্যালে|ব্যালে নাচ|noun||2747|ballay,ballete
buffet|ˈbʊfeɪ|buf-fet|বুফে|বুফে|noun||2748|bufet,buffette
gourmet|ˈɡʊəmeɪ|gour-met|গুরমে|ভোজনরসিক|noun||2749|gourmay,gormet
chauffeur|ˈʃəʊfə|chauf-feur|শোফার|গাড়ির চালক|noun||2750|chaufeur,chauffer
amateur|ˈæmətə|a-ma-teur|অ্যামেচার|শৌখিন|noun||2751|amature,amatuer
entrepreneur|ˌɒntrəprəˈnɜː|en-tre-pre-neur|অন্ট্রেপ্রেনার|উদ্যোক্তা|noun||2752|enterpreneur,entreprenur
rendezvous|ˈrɒndɪvuː|ren-dez-vous|রনডিভু|নির্ধারিত সাক্ষাৎ|noun|silent_letters|2753|rendevous,rendezvouz
debris|ˈdebriː|de-bris|ডেব্রি|ধ্বংসাবশেষ|noun|silent_letters|2754|debree,debriss
fatigue|fəˈtiːɡ|fa-tigue|ফ্যাটিগ|ক্লান্তি|noun|silent_letters|2755|fatige,fatigu
cargo|ˈkɑːɡəʊ|car-go|কার্গো|মালামাল|noun|plural_es|2756|cargoe,kargo
solo|ˈsəʊləʊ|so-lo|সোলো|একক পরিবেশনা|noun||2757|sollo,soloe
tempo|ˈtempəʊ|tem-po|টেমপো|গতি|noun||2758|tempoe,tampo
motto|ˈmɒtəʊ|mot-to|মোটো|নীতিবাক্য|noun|plural_es|2759|moto,mottoe
memento|məˈmentəʊ|me-men-to|মেমেনটো|স্মারক|noun|plural_es|2760|momento,mementoe
veto|ˈviːtəʊ|ve-to|ভিটো|নিষেধাধিকার|noun|plural_es|2761|vito,vetoe
silhouette|ˌsɪluˈet|sil-hou-ette|সিলুয়েট|অবয়বছায়া|noun|silent_letters|2762|silhoutte,silouette
cigarette|ˌsɪɡəˈret|ci-ga-rette|সিগারেট|সিগারেট|noun|soft_c|2763|cigrette,sigarette
etiquette|ˈetɪket|e-ti-quette|এটিকেট|শিষ্টাচার|noun|q_takes_u|2764|etiquete,etikette
gazette|ɡəˈzet|ga-zette|গেজেট|সরকারি ঘোষণাপত্র|noun||2765|gazete,gazzette
casino|kəˈsiːnəʊ|ca-si-no|ক্যাসিনো|ক্যাসিনো|noun||2766|cassino,kasino
focus|ˈfəʊkəs|fo-cus|ফোকাস|কেন্দ্রবিন্দু|noun|plural_es|2767|focas,fokus
genius|ˈdʒiːniəs|ge-ni-us|জিনিয়াস|প্রতিভা|noun|soft_g|2768|jenius,geneus
radius|ˈreɪdiəs|ra-di-us|রেডিয়াস|ব্যাসার্ধ|noun|plural_es|2769|radios,radiaus
stimulus|ˈstɪmjələs|sti-mu-lus|স্টিমুলাস|উদ্দীপক|noun|plural_es|2770|stimulas,stimmulus
terminus|ˈtɜːmɪnəs|ter-mi-nus|টার্মিনাস|শেষ প্রান্ত|noun|plural_es|2771|terminas,termenus
campus|ˈkæmpəs|cam-pus|ক্যামপাস|ক্যাম্পাস|noun|plural_es|2772|campas,kampus
circus|ˈsɜːkəs|cir-cus|সার্কাস|সার্কাস|noun|soft_c|2773|sircus,circas
abrupt|əˈbrʌpt|ab-rupt|অ্যাব্রাপ্ট|আকস্মিক|adjective||2774|abrupte,abrapt
absurd|əbˈsɜːd|ab-surd|অ্যাবসার্ড|অযৌক্তিক|adjective||2775|absard,absurde
abundant|əˈbʌndənt|a-bun-dant|অ্যাবানডেন্ট|প্রচুর|adjective||2776|abundent,abbundant
adjacent|əˈdʒeɪsnt|ad-ja-cent|অ্যাডজেসেন্ট|সংলগ্ন|adjective|soft_c|2777|adjacant,adjasent
ambiguous|æmˈbɪɡjuəs|am-bi-gu-ous|অ্যামবিগুয়াস|দ্ব্যর্থক|adjective||2778|ambigious,ambiguos
apparent|əˈpærənt|ap-pa-rent|অ্যাপারেন্ট|আপাত|adjective||2779|aparent,apparrent
arrogant|ˈærəɡənt|ar-ro-gant|অ্যারোগেন্ট|উদ্ধত|adjective||2780|arogant,arrogent
artificial|ˌɑːtɪˈfɪʃl|ar-ti-fi-cial|আর্টিফিশিয়াল|কৃত্রিম|adjective|soft_c|2781|artifical,artificiel
authentic|ɔːˈθentɪk|au-then-tic|অথেনটিক|খাঁটি|adjective||2782|authantic,autentic
awkward|ˈɔːkwəd|awk-ward|অকওয়ার্ড|বিশ্রী|adjective||2783|akward,awkard
barren|ˈbærən|bar-ren|ব্যারেন|অনুর্বর|adjective||2784|baren,barrenn
bizarre|bɪˈzɑː|bi-zarre|বিজার|উদ্ভট|adjective||2785|bizzare,bizare
bland|blænd|bland|ব্ল্যান্ড|পানসে|adjective||2786|blend,blandd
blunt|blʌnt|blunt|ব্লান্ট|ভোঁতা|adjective||2787|bluntt,blant
brittle|ˈbrɪtl|brit-tle|ব্রিটল|ভঙ্গুর|adjective||2788|britle,brittel
brutal|ˈbruːtl|bru-tal|ব্রুটাল|নিষ্ঠুর|adjective||2789|brutel,brutall
chaotic|keɪˈɒtɪk|cha-o-tic|কেয়টিক|বিশৃঙ্খল|adjective||2790|chaotik,kaotic
chronic|ˈkrɒnɪk|chro-nic|ক্রনিক|দীর্ঘস্থায়ী|adjective||2791|cronic,chronik
clumsy|ˈklʌmzi|clum-sy|ক্লামজি|আনাড়ি|adjective|y_to_i|2792|clumsey,klumsy
coarse|kɔːs|coarse|কোর্স|খসখসে|adjective||2793|corse,coarce
coherent|kəʊˈhɪərənt|co-he-rent|কোহিয়ারেন্ট|সুসংবদ্ধ|adjective||2794|coherant,cohearent
compact|kəmˈpækt|com-pact|কমপ্যাক্ট|সুসংহত|adjective||2795|compect,kompact
competent|ˈkɒmpɪtənt|com-pe-tent|কমপিটেন্ট|যোগ্য|adjective||2796|competant,kompetent
complex|ˈkɒmpleks|com-plex|কমপ্লেক্স|জটিল|adjective|plural_es|2797|compex,komplex
concise|kənˈsaɪs|con-cise|কনসাইস|সংক্ষিপ্ত|adjective|soft_c|2798|consise,concice
confident|ˈkɒnfɪdənt|con-fi-dent|কনফিডেন্ট|আত্মবিশ্বাসী|adjective||2799|confidant,konfident
consistent|kənˈsɪstənt|con-sis-tent|কনসিসটেন্ট|সামঞ্জস্যপূর্ণ|adjective||2800|consistant,konsistent
conspicuous|kənˈspɪkjuəs|cons-pi-cu-ous|কনস্পিকুয়াস|সুস্পষ্ট|adjective||2801|conspicous,conspicuos
contemporary|kənˈtemprəri|con-tem-po-ra-ry|কনটেমপোরারি|সমসাময়িক|adjective|y_to_i|2802|contemporery,contempary
continuous|kənˈtɪnjuəs|con-ti-nu-ous|কনটিনিউয়াস|অবিরাম|adjective||2803|continous,continuos
conventional|kənˈvenʃənl|con-ven-tio-nal|কনভেনশনাল|প্রচলিত|adjective|tion_sion|2804|convensional,conventionel
courageous|kəˈreɪdʒəs|cou-ra-geous|কারেজাস|সাহসী|adjective|soft_g|2805|couragous,curageous
courteous|ˈkɜːtiəs|cour-te-ous|কার্টিয়াস|ভদ্র|adjective||2806|courtous,curteous
crucial|ˈkruːʃl|cru-cial|ক্রুশিয়াল|অত্যন্ত জরুরি|adjective|soft_c|2807|crucal,krucial
cunning|ˈkʌnɪŋ|cun-ning|কানিং|ধূর্ত|adjective||2808|cuning,cunnning
cynical|ˈsɪnɪkl|cy-ni-cal|সিনিকাল|নৈরাশ্যবাদী|adjective|soft_c|2809|synical,cynicel
decent|ˈdiːsnt|de-cent|ডিসেন্ট|শোভন|adjective|soft_c|2810|desent,decant
deliberate|dɪˈlɪbərət|de-li-be-rate|ডিলিবারেট|ইচ্ছাকৃত|adjective||2811|deliberet,delibarate
dense|dens|dense|ডেন্স|ঘন|adjective|drop_silent_e|2812|dence,denss
desperate|ˈdesprət|des-pe-rate|ডেসপারেট|মরিয়া|adjective||2813|desparate,desperete
diligent|ˈdɪlɪdʒənt|di-li-gent|ডিলিজেন্ট|পরিশ্রমী|adjective|soft_g|2814|diligant,dilijent
diverse|daɪˈvɜːs|di-verse|ডাইভার্স|বৈচিত্র্যময়|adjective|no_final_v|2815|divers,dibverse
dominant|ˈdɒmɪnənt|do-mi-nant|ডমিনেন্ট|প্রভাবশালী|adjective||2816|dominent,domminant
drastic|ˈdræstɪk|dras-tic|ড্রাসটিক|কঠোর|adjective||2817|drastik,drestic
dubious|ˈdjuːbiəs|du-bi-ous|ডিউবিয়াস|সন্দেহজনক|adjective||2818|dubius,dubioius
durable|ˈdjʊərəbl|du-ra-ble|ডিউরেবল|টেকসই|adjective|able_ible|2819|durible,durabel
dynamic|daɪˈnæmɪk|dy-na-mic|ডাইনামিক|গতিশীল|adjective||2820|dinamic,dynamik
eager|ˈiːɡə|ea-ger|ইগার|আগ্রহী|adjective||2821|eagar,egar
elaborate|ɪˈlæbərət|e-la-bo-rate|ইলাবোরেট|বিস্তারিত|adjective||2822|elaborete,ellaborate
eminent|ˈemɪnənt|e-mi-nent|এমিনেন্ট|বিশিষ্ট|adjective||2823|eminant,emminent
enormous|ɪˈnɔːməs|e-nor-mous|ইনরমাস|বিশাল|adjective||2824|enormus,enourmous
enthusiastic|ɪnˌθjuːziˈæstɪk|en-thu-si-as-tic|এনথুসিয়াসটিক|উৎসাহী|adjective||2825|enthusiastik,entusiastic
essential|ɪˈsenʃl|es-sen-tial|এসেনশিয়াল|অপরিহার্য|adjective||2826|essencial,esential
eternal|ɪˈtɜːnl|e-ter-nal|ইটার্নাল|চিরন্তন|adjective||2827|eternel,etarnal
evident|ˈevɪdənt|e-vi-dent|এভিডেন্ট|স্পষ্ট|adjective||2828|evidant,ebident
exact|ɪɡˈzækt|e-xact|এগজ্যাক্ট|যথাযথ|adjective||2829|exect,eggzact
excessive|ɪkˈsesɪv|ex-ces-sive|এক্সেসিভ|অতিরিক্ত|adjective|no_final_v|2830|excesive,exessive
exclusive|ɪkˈskluːsɪv|ex-clu-sive|এক্সক্লুসিভ|একচেটিয়া|adjective|no_final_v|2831|exclusiv,eksclusive
exotic|ɪɡˈzɒtɪk|e-xo-tic|এগজটিক|বিদেশি ও বিরল|adjective||2832|exotik,eggzotic
explicit|ɪkˈsplɪsɪt|ex-pli-cit|এক্সপ্লিসিট|স্পষ্টভাবে বলা|adjective|soft_c|2833|explisit,explicite
extensive|ɪkˈstensɪv|ex-ten-sive|এক্সটেনসিভ|ব্যাপক|adjective|no_final_v|2834|extensiv,extansive
external|ɪkˈstɜːnl|ex-ter-nal|এক্সটার্নাল|বাহ্যিক|adjective||2835|externel,extarnal
extravagant|ɪkˈstrævəɡənt|ex-tra-va-gant|এক্সট্রাভ্যাগেন্ট|অপব্যয়ী|adjective||2836|extravagent,extravagunt
fabulous|ˈfæbjələs|fa-bu-lous|ফ্যাবুলাস|চমৎকার|adjective||2837|fabulus,fabolous
familiar|fəˈmɪliə|fa-mi-liar|ফ্যামিলিয়ার|পরিচিত|adjective||2838|familier,familliar
fatal|ˈfeɪtl|fa-tal|ফেটাল|মারাত্মক|adjective||2839|fatel,fattal
feasible|ˈfiːzəbl|fea-si-ble|ফিজিবল|সম্ভবপর|adjective|able_ible|2840|feasable,feesible
feeble|ˈfiːbl|fee-ble|ফিবল|দুর্বল|adjective||2841|feebel,fible
fertile|ˈfɜːtaɪl|fer-tile|ফার্টাইল|উর্বর|adjective||2842|fertil,fertyle
fierce|fɪəs|fierce|ফিয়ার্স|হিংস্র|adjective|i_before_e|2843|feirce,fierse
fluent|ˈfluːənt|flu-ent|ফ্লুয়েন্ট|সাবলীল|adjective||2844|fluant,fluient
formal|ˈfɔːml|for-mal|ফরমাল|আনুষ্ঠানিক|adjective||2845|formel,formall
fortunate|ˈfɔːtʃənət|for-tu-nate|ফরচুনেট|ভাগ্যবান|adjective||2846|fortunet,fortunete
fragile|ˈfrædʒaɪl|fra-gile|ফ্র্যাজাইল|ভঙ্গুর|adjective|soft_g|2847|frajile,fragil
frank|fræŋk|frank|ফ্র্যাংক|স্পষ্টবাদী|adjective||2848|frenk,frankk
furious|ˈfjʊəriəs|fu-ri-ous|ফিউরিয়াস|ক্রুদ্ধ|adjective||2849|furius,fureous
genuine|ˈdʒenjuɪn|ge-nu-ine|জেনুইন|খাঁটি|adjective|soft_g|2850|genuin,jenuine
glorious|ˈɡlɔːriəs|glo-ri-ous|গ্লোরিয়াস|গৌরবময়|adjective||2851|glorius,gloreous
gorgeous|ˈɡɔːdʒəs|gor-geous|গর্জাস|অপরূপ|adjective|soft_g|2852|gorgous,gorjeous
gradual|ˈɡrædʒuəl|gra-du-al|গ্র্যাজুয়াল|ক্রমিক|adjective||2853|graduel,gradaul
gratitude|ˈɡrætɪtjuːd|gra-ti-tude|গ্র্যাটিটিউড|কৃতজ্ঞতা|noun||2854|gratitud,graditude
greedy|ˈɡriːdi|gree-dy|গ্রিডি|লোভী|adjective|y_to_i|2855|greedey,gredy
grim|ɡrɪm|grim|গ্রিম|ভয়াবহ|adjective|doubling_1_1_1|2856|grimm,gream
gross|ɡrəʊs|gross|গ্রোস|স্থূল|adjective|floss_doubling|2857|gros,grosse
gruesome|ˈɡruːsəm|grue-some|গ্রুসাম|বীভৎস|adjective||2858|gruesom,grewsome
hasty|ˈheɪsti|has-ty|হেসটি|তাড়াহুড়ো|adjective|y_to_i|2859|hastey,heasty
hazardous|ˈhæzədəs|ha-zar-dous|হ্যাজার্ডাস|বিপজ্জনক|adjective||2860|hazardus,hazerdous
hollow|ˈhɒləʊ|hol-low|হলো|ফাঁপা|adjective||2861|holow,hollo
hostile|ˈhɒstaɪl|hos-tile|হসটাইল|বৈরী|adjective||2862|hostil,hostyle
humble|ˈhʌmbl|hum-ble|হামবল|বিনয়ী|adjective||2863|humbel,hamble
humorous|ˈhjuːmərəs|hu-mo-rous|হিউমরাস|রসিক|adjective||2864|humourous,humorus
hybrid|ˈhaɪbrɪd|hy-brid|হাইব্রিড|সংকর|adjective||2865|hibrid,hybride
identical|aɪˈdentɪkl|i-den-ti-cal|আইডেনটিকাল|অভিন্ন|adjective||2866|identicle,identicel
idle|ˈaɪdl|i-dle|আইডল|অলস|adjective||2867|idel,idol
immense|ɪˈmens|im-mense|ইমেন্স|অতিবিশাল|adjective||2868|imense,immence
imminent|ˈɪmɪnənt|im-mi-nent|ইমিনেন্ট|আসন্ন|adjective||2869|iminent,imminant
immune|ɪˈmjuːn|im-mune|ইমিউন|প্রতিরোধী|adjective||2870|imune,immun
impartial|ɪmˈpɑːʃl|im-par-tial|ইমপার্শিয়াল|নিরপেক্ষ|adjective||2871|impartiel,imparshal
impressive|ɪmˈpresɪv|im-pres-sive|ইমপ্রেসিভ|চিত্তাকর্ষক|adjective|no_final_v|2872|impresive,impressiv
inevitable|ɪnˈevɪtəbl|i-ne-vi-ta-ble|ইনএভিটেবল|অনিবার্য|adjective|able_ible|2873|inevitible,inevitabel
informal|ɪnˈfɔːml|in-for-mal|ইনফরমাল|অনানুষ্ঠানিক|adjective||2874|informel,infarmal
inherent|ɪnˈhɪərənt|in-he-rent|ইনহেরেন্ট|সহজাত|adjective||2875|inherant,inhearent
initial|ɪˈnɪʃl|i-ni-tial|ইনিশিয়াল|প্রারম্ভিক|adjective||2876|inicial,initiel
innocent|ˈɪnəsnt|in-no-cent|ইনোসেন্ট|নির্দোষ|adjective|soft_c|2877|inocent,innosent
innovative|ˈɪnəvətɪv|in-no-va-tive|ইনোভেটিভ|উদ্ভাবনী|adjective|no_final_v|2878|inovative,innovativ
intense|ɪnˈtens|in-tense|ইনটেন্স|তীব্র|adjective||2879|intanse,intence
intimate|ˈɪntɪmət|in-ti-mate|ইনটিমেট|ঘনিষ্ঠ|adjective||2880|intimet,intemate
intricate|ˈɪntrɪkət|in-tri-cate|ইনট্রিকেট|জটিল|adjective||2881|intricet,intrecate
intrinsic|ɪnˈtrɪnzɪk|in-trin-sic|ইনট্রিনসিক|অন্তর্নিহিত|adjective||2882|intrinsik,intrensic
invalid|ɪnˈvælɪd|in-va-lid|ইনভ্যালিড|অবৈধ|adjective||2883|invalide,inbalid
jealous|ˈdʒeləs|jea-lous|জেলাস|ঈর্ষান্বিত|adjective|soft_g|2884|jelous,jealus
jolly|ˈdʒɒli|jol-ly|জলি|প্রফুল্ল|adjective|y_to_i|2885|joly,jollie
keen|kiːn|keen|কিন|আগ্রহী|adjective||2886|kean,keenn
legitimate|lɪˈdʒɪtɪmət|le-gi-ti-mate|লেজিটিমেট|বৈধ|adjective|soft_g|2887|legitimet,lejitimate
lenient|ˈliːniənt|le-ni-ent|লিনিয়েন্ট|নম্র|adjective||2888|leniant,leneint
liberal|ˈlɪbərəl|li-be-ral|লিবারেল|উদার|adjective||2889|liberel,libaral
literal|ˈlɪtərəl|li-te-ral|লিটারেল|আক্ষরিক|adjective||2890|litaral,literel
lively|ˈlaɪvli|live-ly|লাইভলি|প্রাণবন্ত|adjective|y_to_i|2891|livly,livelly
lofty|ˈlɒfti|lof-ty|লফটি|উচ্চ|adjective|y_to_i|2892|loftey,loffty
loyal|ˈlɔɪəl|lo-yal|লয়াল|অনুগত|adjective||2893|loyel,loial
lucid|ˈluːsɪd|lu-cid|লুসিড|স্বচ্ছ|adjective|soft_c|2894|lusid,lucide
magnificent|mæɡˈnɪfɪsnt|mag-ni-fi-cent|ম্যাগনিফিসেন্ট|জমকালো|adjective|soft_c|2895|magnificant,magnifisent
massive|ˈmæsɪv|mas-sive|ম্যাসিভ|বিশাল|adjective|no_final_v|2896|masive,massiv
mature|məˈtʃʊə|ma-ture|ম্যাচিওর|পরিণত|adjective||2897|matur,machure
mediocre|ˌmiːdiˈəʊkə|me-di-o-cre|মিডিওকার|মাঝারি|adjective||2898|mediocer,mediocra
melancholy|ˈmelənkəli|me-lan-cho-ly|মেলানকলি|বিষণ্ন|adjective|y_to_i|2899|melancoly,melancholly
mellow|ˈmeləʊ|mel-low|মেলো|নরম|adjective||2900|melow,mellowe
mere|mɪə|mere|মিয়ার|নিছক|adjective||2901|meer,merre
meticulous|məˈtɪkjələs|me-ti-cu-lous|মেটিকুলাস|অতিযত্নশীল|adjective||2902|meticulus,metculous
mighty|ˈmaɪti|migh-ty|মাইটি|পরাক্রমশালী|adjective|silent_letters|2903|mity,mightey
modest|ˈmɒdɪst|mo-dest|মডেস্ট|বিনয়ী|adjective||2904|modast,moddest
monotonous|məˈnɒtənəs|mo-no-to-nous|মনোটোনাস|একঘেয়ে|adjective||2905|monotonus,monotounous
moral|ˈmɒrəl|mo-ral|মরাল|নৈতিক|adjective||2906|morel,morall
mundane|mʌnˈdeɪn|mun-dane|মানডেইন|গতানুগতিক|adjective||2907|mundain,mondane
mutual|ˈmjuːtʃuəl|mu-tu-al|মিউচুয়াল|পারস্পরিক|adjective||2908|mutuel,mutal
naive|naɪˈiːv|na-ive|নাইভ|সরল|adjective|no_final_v|2909|naiv,naeve
neat|niːt|neat|নিট|পরিপাটি|adjective||2910|neet,neatt
neutral|ˈnjuːtrəl|neu-tral|নিউট্রাল|নিরপেক্ষ|adjective||2911|neutrel,nutral
noble|ˈnəʊbl|no-ble|নোবল|মহৎ|adjective||2912|nobel,nobbl
notable|ˈnəʊtəbl|no-ta-ble|নোটেবল|উল্লেখযোগ্য|adjective|able_ible|2913|notible,notabel
notorious|nəʊˈtɔːriəs|no-to-ri-ous|নোটোরিয়াস|কুখ্যাত|adjective||2914|notorius,notoreous
obedient|əˈbiːdiənt|o-be-di-ent|ওবিডিয়েন্ট|বাধ্য|adjective||2915|obediant,obedeint
obscure|əbˈskjʊə|ob-scure|অবসকিওর|অস্পষ্ট|adjective||2916|obscur,obscoure
obsolete|ˈɒbsəliːt|ob-so-lete|অবসোলিট|অপ্রচলিত|adjective||2917|obsolet,obselete
odd|ɒd|odd|অড|অদ্ভুত|adjective|floss_doubling|2918|od,odde
offensive|əˈfensɪv|of-fen-sive|অফেনসিভ|আক্রমণাত্মক|adjective|no_final_v|2919|ofensive,offensiv
optimistic|ˌɒptɪˈmɪstɪk|op-ti-mis-tic|অপটিমিসটিক|আশাবাদী|adjective||2920|optimistik,optomistic
ordinary|ˈɔːdnri|or-di-na-ry|অর্ডিনারি|সাধারণ|adjective|y_to_i|2921|ordinery,ordanary
organic|ɔːˈɡænɪk|or-ga-nic|অর্গানিক|জৈব|adjective||2922|organik,orgenic
outstanding|aʊtˈstændɪŋ|out-stan-ding|আউটসট্যানডিং|অসামান্য|adjective||2923|outstading,outstandding
overt|əʊˈvɜːt|o-vert|ওভার্ট|প্রকাশ্য|adjective||2924|ovart,overtt
parallel|ˈpærəlel|pa-ral-lel|প্যারালেল|সমান্তরাল|adjective||2925|paralel,parrallel
partial|ˈpɑːʃl|par-tial|পার্শিয়াল|আংশিক|adjective||2926|partiel,parshal
passive|ˈpæsɪv|pas-sive|প্যাসিভ|নিষ্ক্রিয়|adjective|no_final_v|2927|pasive,passiv
peculiar|pɪˈkjuːliə|pe-cu-liar|পিকিউলিয়ার|অদ্ভুত|adjective||2928|peculier,pecular
permanent|ˈpɜːmənənt|per-ma-nent|পার্মানেন্ট|স্থায়ী|adjective||2929|permanant,parmanent
persistent|pəˈsɪstənt|per-sis-tent|পারসিসটেন্ট|অবিচল|adjective||2930|persistant,persistint
pessimistic|ˌpesɪˈmɪstɪk|pes-si-mis-tic|পেসিমিসটিক|হতাশাবাদী|adjective||2931|pesimistic,pessimistik
petty|ˈpeti|pet-ty|পেটি|তুচ্ছ|adjective|y_to_i|2932|pety,pettie
phenomenal|fəˈnɒmɪnl|phe-no-me-nal|ফেনোমেনাল|অসাধারণ|adjective||2933|phenomenel,fenomenal
placid|ˈplæsɪd|pla-cid|প্ল্যাসিড|শান্ত|adjective|soft_c|2934|plasid,placide
plausible|ˈplɔːzəbl|plau-si-ble|প্লজিবল|বিশ্বাসযোগ্য|adjective|able_ible|2935|plausable,plausibel
pleasant|ˈpleznt|plea-sant|প্লেজেন্ট|মনোরম|adjective||2936|plesant,pleasent
plentiful|ˈplentɪfl|plen-ti-ful|প্লেনটিফুল|প্রচুর|adjective|suffix_ful_one_l|2937|plentifull,plentyful
polite|pəˈlaɪt|po-lite|পোলাইট|ভদ্র|adjective|drop_silent_e|2938|polit,polight
precise|prɪˈsaɪs|pre-cise|প্রিসাইস|নির্ভুল|adjective|soft_c|2939|precice,presise
predominant|prɪˈdɒmɪnənt|pre-do-mi-nant|প্রিডমিনেন্ট|প্রধান|adjective||2940|predominent,predomminant
premature|ˈpremətʃə|pre-ma-ture|প্রিম্যাচিওর|অকাল|adjective||2941|prematur,premeture
prevalent|ˈprevələnt|pre-va-lent|প্রিভ্যালেন্ট|ব্যাপক|adjective||2942|prevalant,prebalent
primitive|ˈprɪmətɪv|pri-mi-tive|প্রিমিটিভ|আদিম|adjective|no_final_v|2943|primitiv,primative
productive|prəˈdʌktɪv|pro-duc-tive|প্রোডাকটিভ|উৎপাদনশীল|adjective|no_final_v|2944|productiv,produktive
profound|prəˈfaʊnd|pro-found|প্রোফাউন্ড|গভীর|adjective||2945|profund,profoundd
prominent|ˈprɒmɪnənt|pro-mi-nent|প্রমিনেন্ট|বিশিষ্ট|adjective||2946|prominant,promminent
prompt|prɒmpt|prompt|প্রম্পট|তৎপর|adjective||2947|promt,promptt
proper|ˈprɒpə|pro-per|প্রপার|যথাযথ|adjective||2948|propar,propper
prosperous|ˈprɒspərəs|pros-pe-rous|প্রসপারাস|সমৃদ্ধ|adjective||2949|prosperus,prospereous
prudent|ˈpruːdnt|pru-dent|প্রুডেন্ট|বিচক্ষণ|adjective||2950|prudant,pruddent
punctual|ˈpʌŋktʃuəl|punc-tu-al|পাংচুয়াল|সময়নিষ্ঠ|adjective||2951|punctuel,punctal
pure|pjʊə|pure|পিওর|বিশুদ্ধ|adjective|drop_silent_e|2952|puer,purre
radical|ˈrædɪkl|ra-di-cal|র্যাডিকাল|মৌলিক|adjective||2953|radicle,radicel
rapid|ˈræpɪd|ra-pid|র্যাপিড|দ্রুত|adjective||2954|rappid,rapide
rare|reə|rare|রেয়ার|বিরল|adjective|drop_silent_e|2955|rear,rarre
rational|ˈræʃnəl|ra-tio-nal|র্যাশনাল|যুক্তিসংগত|adjective|tion_sion|2956|rasional,rationel
realistic|ˌrɪəˈlɪstɪk|rea-lis-tic|রিয়ালিসটিক|বাস্তবসম্মত|adjective||2957|realistik,relistic
rebellious|rɪˈbeliəs|re-bel-lious|রিবেলিয়াস|বিদ্রোহী|adjective||2958|rebelious,rebellius
redundant|rɪˈdʌndənt|re-dun-dant|রিডানডেন্ট|অপ্রয়োজনীয়|adjective||2959|redundent,redandant
refined|rɪˈfaɪnd|re-fined|রিফাইনড|পরিশীলিত|adjective|drop_silent_e|2960|refind,refyned
relentless|rɪˈlentləs|re-lent-less|রিলেনটলেস|নির্মম|adjective||2961|relentles,relentlless
reluctant|rɪˈlʌktənt|re-luc-tant|রিলাকটেন্ট|অনিচ্ছুক|adjective||2962|reluctent,reluctunt
remote|rɪˈməʊt|re-mote|রিমোট|দূরবর্তী|adjective|drop_silent_e|2963|remot,remoat
resilient|rɪˈzɪliənt|re-si-li-ent|রিজিলিয়েন্ট|সহনশীল|adjective||2964|resiliant,resilent
rigid|ˈrɪdʒɪd|ri-gid|রিজিড|অনমনীয়|adjective|soft_g|2965|rijid,rigide
rigorous|ˈrɪɡərəs|ri-go-rous|রিগোরাস|কঠোর|adjective||2966|rigourous,rigorus
robust|rəʊˈbʌst|ro-bust|রোবাস্ট|মজবুত|adjective||2967|robast,robustt
rude|ruːd|rude|রুড|অভদ্র|adjective|drop_silent_e|2968|rud,roode
rustic|ˈrʌstɪk|rus-tic|রাসটিক|গ্রাম্য|adjective||2969|rustik,rastic
